id,name,primary_muscles,secondary_muscles,body_part,equipment,difficulty,risk_level,impact,suitable_for,!suitable_for,description
,cable two arm curl on incline bench,biceps,forearms,upper arms,cable,,,,,,"Sit on an incline bench with your back against the pad and your feet flat on the ground. Grasp the cable handles with an underhand grip, palms facing up, and your arms fully extended. Keeping your upper arms stationary, exhale and curl the handles towards your shoulders while contracting your biceps. Pause for a moment at the top of the movement, squeezing your biceps. Inhale and slowly lower the handles back to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,cable overhead curl,biceps,"forearms, shoulders",upper arms,cable,,,,,,"Attach a straight bar to a high pulley cable machine. Stand facing the machine with your feet shoulder-width apart. Grasp the bar with an underhand grip, hands shoulder-width apart. Keep your elbows close to your sides and your upper arms stationary. Exhale and curl the bar down towards your forehead, keeping your upper arms stationary. Pause for a moment at the bottom of the movement, squeezing your biceps. Inhale and slowly return the bar to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,cable curl,biceps,forearms,upper arms,cable,,,,,,"Stand facing the cable machine with your feet shoulder-width apart. Grasp the cable attachment with an underhand grip, palms facing up. Keep your elbows close to your sides and your upper arms stationary. Exhale and curl the cable attachment towards your shoulders, contracting your biceps. Pause for a moment at the top of the movement, squeezing your biceps. Inhale and slowly lower the cable attachment back to the starting position. Repeat for the desired number of repetitions."
,cable concentration curl,biceps,forearms,upper arms,cable,,,,,,"Sit on a bench or chair with your feet flat on the floor and your knees slightly bent. Hold the cable handle with an underhand grip and rest your elbow against the inside of your thigh. Keeping your upper arm stationary, exhale and curl the cable handle towards your shoulder while contracting your biceps. Pause for a moment at the top of the movement, then inhale and slowly lower the cable handle back to the starting position. Repeat for the desired number of repetitions, then switch arms."
,dumbbell standing preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand upright with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing forward. Rest the back of your upper arms against the preacher bench or an incline bench, with your elbows slightly bent. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell standing reverse curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold a dumbbell in each hand, palms facing your body. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell cross body hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your body. Keep your elbows close to your torso and your upper arms stationary. Exhale and curl the weights while contracting your biceps, bringing the dumbbells across your body towards your opposite shoulder. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell waiter biceps curl,biceps,"forearms, shoulders",upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing forward. Keep your upper arms close to your body and your elbows tucked in. Slowly curl the dumbbells up towards your shoulders, keeping your wrists straight. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a preacher curl bench with your upper arms resting on the pad and your chest against it. Hold a dumbbell in each hand with your palms facing up and your arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell incline inner biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on an incline bench with a dumbbell in each hand, palms facing each other. Rest your upper arms on the bench, allowing your elbows to hang down and your palms to face forward. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell zottman curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your body. Keep your elbows close to your torso and rotate your palms to face forward. Curl the dumbbells up to your shoulders while keeping your upper arms stationary. At the top of the movement, rotate your wrists so that your palms are facing away from your body. Slowly lower the dumbbells back to the starting position, rotating your palms back to facing your body. Repeat for the desired number of repetitions."
,dumbbell zottman preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a preacher bench with a dumbbell in each hand, palms facing up and elbows resting on the pad. Curl the dumbbells up towards your shoulders, keeping your upper arms stationary and your palms facing up. At the top of the curl, rotate your wrists so that your palms are facing down. Slowly lower the dumbbells back down to the starting position, rotating your wrists back to the starting position as you do so. Repeat for the desired number of repetitions."
,dumbbell revers grip biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing down and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell incline hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on an incline bench with a dumbbell in each hand, palms facing your torso and arms fully extended. Keep your back against the bench and your feet flat on the floor. While keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your torso. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then, inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions."
,dumbbell high curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing forward. Keep your upper arms stationary and curl the dumbbells as high as possible while contracting your biceps. Pause for a moment at the top, then slowly lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell incline biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on an incline bench with a dumbbell in each hand, palms facing forward, and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell over bench neutral wrist curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. Rest your forearms on the bench, allowing your wrists to hang off the edge. Keeping your upper arms stationary, exhale and curl the dumbbells up towards your shoulders. Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell over bench one arm neutral wrist curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with a dumbbell in one hand and your arm extended over the bench, palm facing up. Keep your upper arm stationary and curl the dumbbell towards your shoulder, keeping your wrist in a neutral position. Pause for a moment at the top, then slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms."
,dumbbell peacher hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your torso. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position. Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Then, inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions."
,dumbbell seated hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with a dumbbell in each hand, palms facing your torso and arms extended straight down. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell seated curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your feet flat on the ground and a dumbbell in each hand, palms facing forward. Keep your back straight and your elbows close to your torso. Exhale and curl the dumbbells up towards your shoulders, contracting your biceps. Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell seated bicep curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. Keep your back straight and your elbows close to your torso. Exhale and curl the dumbbells up towards your shoulders, contracting your biceps. Pause for a moment at the top, then inhale and slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell lunge with bicep curl,biceps,"quadriceps, hamstrings",upper arms,dumbbell,,,,,,"Stand with your feet shoulder-width apart, holding a dumbbell in each hand with your palms facing forward. Take a step forward with your right foot, lowering your body into a lunge position. Your right knee should be bent at a 90-degree angle and your left knee should be hovering just above the ground. As you lunge forward, simultaneously curl the dumbbells towards your shoulders, keeping your elbows close to your body. Pause for a moment at the bottom of the lunge, then push through your right heel to return to the starting position, lowering the dumbbells back down to your sides. Repeat the lunge and bicep curl on the opposite side, stepping forward with your left foot. Continue alternating sides for the desired number of repetitions."
,dumbbell alternate seated hammer curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with a dumbbell in each hand, palms facing your torso and arms extended down. Keep your back straight and your elbows close to your torso. Exhale and curl the dumbbell in your right hand towards your shoulder, keeping your upper arm stationary. Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Pause for a brief moment, then inhale and slowly lower the dumbbell back to the starting position. Repeat the movement with your left arm. Continue alternating arms for the desired number of repetitions."
,dumbbell alternate preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a preacher bench with a dumbbell in each hand, palms facing up. Rest your upper arms on the pad of the preacher bench, allowing your arms to fully extend. Keeping your upper arms stationary, exhale and curl the dumbbell in your right hand as you contract your biceps. Continue to curl the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Pause for a moment, then inhale and slowly lower the dumbbell back to the starting position. Repeat the movement with your left arm. Continue alternating arms for the desired number of repetitions."
,dumbbell alternate hammer preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a preacher bench with a dumbbell in each hand, palms facing your torso and arms fully extended. Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the recommended amount of repetitions."
,dumbbell reverse spider curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing your body and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell alternate biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions, alternating arms."
,dumbbell seated inner biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing up. Rest your upper arms on your thighs, allowing the dumbbells to hang down. Keeping your upper arms stationary, curl the dumbbells up towards your shoulders by contracting your biceps. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,dumbbell standing concentration curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards. Place your opposite hand on your thigh for support. Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps. Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms."
,dumbbell standing biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell concentration curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your legs spread apart and a dumbbell in one hand, resting your elbow on the inside of your thigh. Fully extend your arm and hold the dumbbell with an underhand grip. Keeping your upper arm stationary, exhale and curl the weight up towards your shoulder while contracting your biceps. Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly lower the dumbbell back to the starting position. Repeat for the desired number of repetitions, then switch arms."
,dumbbell biceps curl reverse,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing down and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell biceps curl,biceps,forearms,upper arms,dumbbell,,,,,,"Stand up straight with a dumbbell in each hand, palms facing forward and arms fully extended. Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Inhale and slowly begin to lower the dumbbells back to the starting position. Repeat for the desired number of repetitions."
,dumbbell seated preacher curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a preacher curl bench with your feet flat on the floor. Hold a dumbbell in one hand with an underhand grip, resting your upper arm against the preacher pad. Keeping your upper arm stationary, exhale and curl the dumbbell up towards your shoulder. Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position. Repeat for the desired number of repetitions, then switch arms."
,dumbbell seated neutral wrist curl,biceps,forearms,upper arms,dumbbell,,,,,,"Sit on a bench with your feet flat on the ground and hold a dumbbell in each hand, palms facing each other. Rest your forearms on your thighs, allowing the dumbbells to hang down. Keeping your wrists in a neutral position, curl the dumbbells up towards your shoulders. Pause for a moment at the top, then slowly lower the dumbbells back down to the starting position. Repeat for the desired number of repetitions."
,ez barbell close-grip curl,biceps,forearms,upper arms,ez barbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold the ez barbell with an underhand grip, hands shoulder-width apart. Keep your elbows close to your torso and your upper arms stationary throughout the movement. Curl the barbell up towards your shoulders, contracting your biceps. Pause for a moment at the top, then slowly lower the barbell back down to the starting position. Repeat for the desired number of repetitions."
,ez barbell close grip preacher curl,biceps,forearms,upper arms,ez barbell,,,,,,"Sit on a preacher curl bench and place your upper arms on the pad, gripping the ez barbell with an underhand grip. Rest your triceps on the pad and fully extend your arms, keeping your back straight. Slowly curl the barbell towards your shoulders, contracting your biceps. Pause for a moment at the top, squeezing your biceps. Lower the barbell back to the starting position, fully extending your arms. Repeat for the desired number of repetitions."
,ez barbell reverse grip curl,biceps,forearms,upper arms,ez barbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold the ez barbell with an underhand grip. Keep your elbows close to your torso and your upper arms stationary throughout the exercise. Curl the barbell upwards by contracting your biceps, while exhaling. Continue to raise the barbell until your biceps are fully contracted and the barbell is at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps. Slowly begin to bring the barbell back to the starting position as you inhale. Repeat for the desired number of repetitions."
,ez-barbell standing wide grip biceps curl,biceps,forearms,upper arms,ez barbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold the ez barbell with an underhand grip, hands wider than shoulder-width apart. Keep your elbows close to your torso and your upper arms stationary throughout the movement. Curl the barbell up towards your shoulders by contracting your biceps. Pause for a moment at the top, then slowly lower the barbell back to the starting position. Repeat for the desired number of repetitions."
,ez barbell spider curl,biceps,forearms,upper arms,ez barbell,,,,,,"Stand with your feet shoulder-width apart and hold the ez barbell with an underhand grip, palms facing up. Rest your upper arms on a preacher bench or stability ball, allowing your elbows to hang down. Keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the barbell back to the starting position. Repeat for the desired number of repetitions."
,ez barbell seated curls,biceps,forearms,upper arms,ez barbell,,,,,,"Sit on a bench with your feet flat on the ground and your back straight. Hold the ez barbell with an underhand grip, palms facing up, and your hands shoulder-width apart. Rest your upper arms on your thighs, allowing the ez barbell to hang down in front of you. Keeping your upper arms stationary, exhale and curl the ez barbell upwards towards your shoulders. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the ez barbell back to the starting position. Repeat for the desired number of repetitions."
,ez barbell reverse grip preacher curl,biceps,forearms,upper arms,ez barbell,,,,,,"Sit on a preacher bench with your chest against the pad and your feet flat on the floor. Grasp the ez barbell with an underhand grip, hands shoulder-width apart. Rest your upper arms on the pad, allowing your forearms to hang down. Keeping your upper arms stationary, exhale and curl the barbell up towards your shoulders. Pause for a moment at the top, then inhale and slowly lower the barbell back down to the starting position. Repeat for the desired number of repetitions."
,ez barbell curl,biceps,forearms,upper arms,ez barbell,,,,,,"Stand up straight with your feet shoulder-width apart and hold the ez barbell with an underhand grip, palms facing up. Keep your elbows close to your torso and your upper arms stationary throughout the movement. Exhale as you curl the barbell up towards your shoulders, contracting your biceps. Pause for a moment at the top, then inhale as you slowly lower the barbell back down to the starting position. Repeat for the desired number of repetitions."
,kettlebell double alternating hang clean,biceps,"forearms, shoulders",upper arms,kettlebell,,,,,,"Stand with your feet shoulder-width apart, holding a kettlebell in each hand with an overhand grip. Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. Allow the kettlebells to hang straight down in front of your body. In one fluid motion, explosively extend your hips and knees while shrugging your shoulders. As the kettlebells rise, pull them up towards your shoulders, keeping your elbows high and out to the sides. Catch the kettlebells at shoulder height, with your palms facing inward and your elbows pointing forward. Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions."
,kettlebell bottoms up clean from the hang position,biceps,"forearms, shoulders",upper arms,kettlebell,,,,,,"Stand with your feet shoulder-width apart, holding a kettlebell in one hand with an overhand grip. Bend your knees slightly and hinge forward at the hips, keeping your back straight and chest up. Allow the kettlebell to hang down between your legs, with your arm fully extended. In one fluid motion, explosively extend your hips and knees while pulling the kettlebell up towards your shoulder. As the kettlebell reaches shoulder height, rotate your wrist so that the bottom of the kettlebell is facing up. Catch the kettlebell at shoulder height with your elbow bent and your palm facing up. Lower the kettlebell back down to the starting position by reversing the movement. Repeat for the desired number of repetitions, then switch sides."
,lever hammer grip preacher curl,biceps,forearms,upper arms,leverage machine,,,,,,"Adjust the seat height and position yourself on the leverage machine. Place your upper arms on the preacher pad, ensuring your chest is pressed against it. Grasp the handles with a hammer grip (palms facing each other). Keeping your upper arms stationary, exhale and curl the handles towards your shoulders. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the handles back to the starting position. Repeat for the desired number of repetitions."
,lever preacher curl,biceps,forearms,upper arms,leverage machine,,,,,,"Adjust the seat height and position yourself on the leverage machine. Place your upper arms on the pad and grip the handles with an underhand grip. Keep your back straight and your elbows positioned on the pad. Exhale and curl your forearms towards your upper arms, contracting your biceps. Pause for a moment at the top of the movement, squeezing your biceps. Inhale and slowly lower the handles back to the starting position. Repeat for the desired number of repetitions."
,resistance band seated biceps curl,biceps,forearms,upper arms,resistance band,,,,,,"Sit on a chair or bench with your back straight and feet flat on the ground. Hold the resistance band with an underhand grip, palms facing up, and arms extended down by your sides. Keeping your upper arms stationary, exhale and curl the resistance band up towards your shoulders. Pause for a moment at the top, squeezing your biceps. Inhale and slowly lower the resistance band back to the starting position. Repeat for the desired number of repetitions."
,assisted lying calves stretch,calves,hamstrings,lower legs,assisted,,,,,,"Lie on your back with your legs extended. Bend one knee and place your foot flat on the ground. Using your hands or a towel, gently pull your toes towards your body, feeling a stretch in your calf. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the other leg."
,band single leg reverse calf raise,calves,"hamstrings, glutes",lower legs,band,,,,,,"Stand with your feet hip-width apart and place the band around the ball of your foot. Hold onto a stable object for balance. Slowly raise your heel off the ground, lifting your body weight onto the ball of your foot. Pause for a moment at the top, then slowly lower your heel back down to the starting position. Repeat for the desired number of repetitions, then switch to the other leg."
,barbell standing leg calf raise,calves,"hamstrings, glutes",lower legs,barbell,,,,,,"Stand with your feet shoulder-width apart and place a barbell across your upper back. Raise your heels off the ground as high as possible, using your calves. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,barbell standing calf raise,calves,"hamstrings, glutes",lower legs,barbell,,,,,,"Stand with your feet shoulder-width apart and place a barbell across your upper back. Raise your heels off the ground as high as possible, using only your toes. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,standing calves calf stretch,calves,"hamstrings, glutes",lower legs,body weight,,,,,,"Stand facing a wall or sturdy object, about an arm's length away. Place your hands on the wall or object at shoulder height. Step back with one foot, keeping your heel flat on the ground. Bend your front knee slightly and lean forward, keeping your back leg straight. You should feel a stretch in your calf muscle. Hold the stretch for 20-30 seconds. Repeat on the other leg."
,ankle circles,calves,ankle stabilizers,lower legs,body weight,,,,,,"Sit on the ground with your legs extended in front of you. Lift one leg off the ground and rotate your ankle in a circular motion. Perform the desired number of circles in one direction, then switch to the other direction. Repeat with the other leg."
,one leg floor calf raise,calves,"ankles, feet",lower legs,body weight,,,,,,"Stand with your feet hip-width apart and place your hands on a wall or sturdy object for balance. Lift one foot off the ground and balance on the other foot. Slowly raise your heel off the ground, lifting your body up onto the ball of your foot. Pause for a moment at the top, then slowly lower your heel back down to the starting position. Repeat for the desired number of repetitions, then switch legs and repeat."
,seated calf stretch  ,calves,hamstrings,lower legs,body weight,,,,,,"Sit on the edge of a chair or bench with your feet flat on the ground. Extend one leg straight out in front of you, keeping your heel on the ground. Lean forward slightly, feeling a stretch in your calf muscle. Hold the stretch for 20-30 seconds. Switch legs and repeat the stretch."
,circles knee stretch,calves,"hamstrings, quadriceps",lower legs,body weight,,,,,,"Stand with your feet shoulder-width apart and your hands on your hips. Bend your knees slightly and lift your heels off the ground, balancing on the balls of your feet. Keeping your knees bent, rotate your knees in a circular motion, first clockwise and then counterclockwise. Perform the movement for the desired number of repetitions."
,donkey calf raise,calves,"hamstrings, glutes",lower legs,body weight,,,,,,"Stand with your toes on an elevated surface, such as a step or block. Place your hands on a stable support, such as a wall or railing, for balance. Raise your heels as high as possible, lifting your body weight onto the balls of your feet. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,calf stretch with hands against wall,calves,hamstrings,lower legs,body weight,,,,,,"Stand facing a wall with your feet hip-width apart. Place your hands against the wall at shoulder height. Step your right foot back, keeping your heel on the ground and your leg straight. Bend your left knee and lean forward, keeping your back leg straight and your heel on the ground. Hold the stretch for 20-30 seconds. Switch legs and repeat the stretch."
,calf push stretch with hands against wall,calves,hamstrings,lower legs,body weight,,,,,,"Stand facing a wall with your feet hip-width apart. Place your hands against the wall at shoulder height. Step back with one foot, keeping your heel on the ground and your leg straight. Bend your front knee slightly and lean forward, feeling a stretch in your calf. Hold the stretch for 20-30 seconds. Switch legs and repeat the stretch."
,bodyweight standing calf raise,calves,"ankles, feet",lower legs,body weight,,,,,,"Stand with your feet shoulder-width apart, toes pointing forward. Place your hands on a wall or stable surface for balance. Slowly raise your heels off the ground, lifting your body weight onto the balls of your feet. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,single leg calf raise (on a dumbbell),calves,"ankles, feet",lower legs,dumbbell,,,,,,"Stand with your feet hip-width apart and hold a dumbbell in one hand. Lift one foot off the ground and balance on the other foot. Slowly raise your heel as high as possible, using your calf muscles. Pause for a moment at the top, then slowly lower your heel back down. Repeat for the desired number of repetitions, then switch to the other leg."
,dumbbell single leg calf raise,calves,ankles,lower legs,dumbbell,,,,,,"Stand on the edge of a step or platform with your heels hanging off and your toes on the step. Hold a dumbbell in one hand and place your other hand on a wall or railing for support. Raise your heel as high as possible, lifting your body up onto your toes. Pause for a moment at the top, then slowly lower your heel back down below the step. Repeat for the desired number of repetitions, then switch to the other leg."
,lever standing calf raise,calves,"soleus, ankle stabilizers",lower legs,leverage machine,,,,,,"Adjust the machine to your height and stand with your feet shoulder-width apart. Place your shoulders under the pads and hold onto the handles for stability. Raise your heels as high as possible by extending your ankles. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,lever seated calf press,calves,"soleus, hamstrings",lower legs,leverage machine,,,,,,"Adjust the seat of the machine so that your shoulders are aligned with the lever pad. Place your toes on the lower portion of the platform and position your knees under the lever pad. Grasp the handles on the sides of the seat for stability. Press the lever pad down by extending your ankles, lifting your heels as high as possible. Pause for a moment at the top of the movement, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,lever rotary calf,calves,"soleus, ankle stabilizers",lower legs,leverage machine,,,,,,"Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate. Place your toes on the footplate, with your heels hanging off the edge. Grasp the handles or the sides of the machine for stability. Push through the balls of your feet, raising your heels as high as possible. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,lever seated calf raise,calves,"soleus, ankle stabilizers",lower legs,leverage machine,,,,,,"Adjust the seat height so that your knees are slightly bent and your feet are flat on the footplate. Place your toes on the footplate with your heels hanging off the edge. Grasp the handles or the sides of the seat for stability. Push through the balls of your feet to raise your heels as high as possible. Pause for a moment at the top, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions."
,lever seated squat calf raise on leg press machine,calves,"quadriceps, hamstrings, glutes",lower legs,leverage machine,,,,,,"Adjust the seat of the leg press machine so that your knees are slightly bent when your feet are on the footplate. Sit on the machine with your back against the backrest and your feet flat on the footplate, shoulder-width apart. Place your toes and the balls of your feet on the footplate, keeping your heels off the edge. Release the safety handles and push the footplate away from you by extending your knees. Once your knees are fully extended, slowly lower your heels by flexing your calves. Pause for a moment at the bottom, then push the footplate back up by extending your calves. Repeat for the desired number of repetitions."
